enumName,challengeName::str,warpLevelNum,warpAreaIdx,warpNodeId,requiredFlags,enforcedFlags
CHAL_ID_DUMMY_CHALLENGE,DUMMY CHALLENGE,LEVEL_PSS,0x01,0x0A,(CHALLENGE_FLAG_NONE),(CHALLENGE_FLAG_NONE)
CHAL_ID_LEARNING_THE_ROPES,Learning the ropes,LEVEL_BOB,0x01,0x01,(CHALLENGE_FLAG_COIN),(CHALLENGE_FLAG_COIN)
CHAL_ID_COIN_PARANOIA,Coin Paranoia,LEVEL_BOB,0x02,0x02,(CHALLENGE_FLAG_NONE),(CHALLENGE_FLAG_COIN)
CHAL_ID_GOOMBOUNCING,Goombouncing,LEVEL_BOB,0x03,0x03,(CHALLENGE_FLAG_JUMP | CHALLENGE_FLAG_KILL_GOOMBA | CHALLENGE_FLAG_GROUND),(CHALLENGE_FLAG_JUMP | CHALLENGE_FLAG_KILL_GOOMBA | CHALLENGE_FLAG_GROUND)
CHAL_ID_SHREDDING_SAFELY,Shredding safely,LEVEL_BOB,0x04,0x04,(CHALLENGE_FLAG_NONE),(CHALLENGE_FLAG_GROUND | CHALLENGE_FLAG_KILL_GOOMBA)
CHAL_ID_BOBOMB_SACRIFICE,Bob-omb Sacrifice,LEVEL_BOB,0x05,0x05,(CHALLENGE_FLAG_KILL_BOMB),(CHALLENGE_FLAG_KILL_BOMB)
CHAL_ID_THE_LONE_SURVIVOR,The Lone Survivor,LEVEL_BOB,0x05,0x06,(CHALLENGE_FLAG_KILL_ALL_BOMBS),(CHALLENGE_FLAG_KILL_ALL_BOMBS)
CHAL_ID_OFF_THE_WALL_TO_GLORY,Off the wall to glory,LEVEL_BOB,0x06,0x07,(CHALLENGE_FLAG_WALLKICK),(CHALLENGE_FLAG_WALLKICK | CHALLENGE_FLAG_GROUND)
CHAL_ID_BOBOMB_BOWLING,Bob-omb Bowling,LEVEL_BOB,0x05,0x08,(CHALLENGE_FLAG_KILL_GOOMBA_WITH_BOMB),(CHALLENGE_FLAG_KILL_GOOMBA_WITH_BOMB | CHALLENGE_FLAG_KILL_GOOMBA)
CHAL_ID_DIMENSION_OF_THE_LIVING_KOOPA,Dimension of the Living Koopa,LEVEL_BOB,0x05,0x09,(CHALLENGE_FLAG_INTERACTED_KOOPA),(CHALLENGE_FLAG_INTERACTED_KOOPA | CHALLENGE_FLAG_GROUND)
CHAL_ID_TRICKY_TRIPLE,Tricky Triple,LEVEL_BOB,0x06,0x0A,(CHALLENGE_FLAG_TRIPLE_JUMP | CHALLENGE_FLAG_COIN),(CHALLENGE_FLAG_TRIPLE_JUMP)
CHAL_ID_PIECE_OF_KOEK,Piece of Koek,LEVEL_BOB,0x06,0x0B,(CHALLENGE_FLAG_A_PRESS),(CHALLENGE_FLAG_A_PRESS)
CHAL_ID_THE_GREEN_DEMONS,The Green Demons,LEVEL_BOB,0x07,0x0C,(CHALLENGE_FLAG_NONE),(CHALLENGE_FLAG_COLLECT_LIFE)
CHAL_ID_PIRANHA_PLANT_SIESTA,Piranha Plant Siesta,LEVEL_BOB,0x08,0x0D,(CHALLENGE_FLAG_A_PRESS),(CHALLENGE_FLAG_A_PRESS | CHALLENGE_FLAG_SLEEPING_PIRANHA)
CHAL_ID_PIRANHA_CHAINING,Piranha Chaining,LEVEL_BOB,0x06,0x0E,(CHALLENGE_FLAG_A_PRESS),(CHALLENGE_FLAG_A_PRESS)
CHAL_ID_BOBOMB_BATTLE_ROYALE,Bob-omb Battle Royale,LEVEL_BOB,0x05,0x0F,(CHALLENGE_FLAG_TIMER),(CHALLENGE_FLAG_INTERACTED_KOOPA)
CHAL_ID_A_SIMPLE_COIN,A Simple Coin,LEVEL_BOB,0x05,0x10,(CHALLENGE_FLAG_COIN),(CHALLENGE_FLAG_COIN | CHALLENGE_FLAG_KILL_MONEYBAG)
CHAL_ID_PLATFORMING,Platforming,LEVEL_WF,0x01,0x11,(CHALLENGE_FLAG_A_PRESS),(CHALLENGE_FLAG_A_PRESS)
CHAL_ID_CAST_IT_INTO_THE_FIRE,Cast It Into The Fire,LEVEL_WF,0x02,0x12,(CHALLENGE_FLAG_KILL_PENGUIN),(CHALLENGE_FLAG_KILL_PENGUIN)
CHAL_ID_THE_GREEN_DEMONS_POSSE,The Green Demons' Posse,LEVEL_BOB,0x07,0x13,(CHALLENGE_FLAG_NONE),(CHALLENGE_FLAG_COLLECT_LIFE)
CHAL_ID_RESCUE_PEACH,Rescue Peach...,LEVEL_BOB,0x09,0x14,(CHALLENGE_FLAG_KILL_WHOMP_KING | CHALLENGE_FLAG_SMOOCH),(CHALLENGE_FLAG_KILL_WHOMP_KING | CHALLENGE_FLAG_SMOOCH)
CHAL_ID_NUM_CHALLENGES,,,,,,
